"LineId","Month","Date","Time","Level","Component","PID","Content","EventId","EventTemplate"
"119","Oct","11","01:08:33","ns1","ftpd","29891","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"120","Oct","11","01:08:33","ns1","ftpd","29889","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"121","Oct","11","01:08:33","ns1","ftpd","29903","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"122","Oct","11","01:08:33","ns1","ftpd","29900","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"123","Oct","11","01:08:33","ns1","ftpd","29896","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"124","Oct","11","01:08:33","ns1","ftpd","29905","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"125","Oct","11","01:08:33","ns1","ftpd","29909","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"126","Oct","11","01:08:33","ns1","ftpd","29908","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"127","Oct","11","01:08:33","ns1","ftpd","29910","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"128","Oct","11","01:10:25","ns1","ftpd","29889","FTP session closed","E32","FTP session closed"
"129","Oct","11","01:11:21","ns1","ftpd","29892","FTP session closed","E32","FTP session closed"
"130","Oct","11","01:11:21","ns1","ftpd","29895","FTP session closed","E32","FTP session closed"
"131","Oct","11","01:11:21","ns1","ftpd","29899","FTP session closed","E32","FTP session closed"
"132","Oct","11","01:11:21","ns1","ftpd","29904","FTP session closed","E32","FTP session closed"
"133","Oct","11","01:11:21","ns1","ftpd","29901","FTP session closed","E32","FTP session closed"
"134","Oct","11","01:11:21","ns1","ftpd","29898","FTP session closed","E32","FTP session closed"
"135","Oct","11","01:11:21","ns1","ftpd","29891","FTP session closed","E32","FTP session closed"
"136","Oct","11","01:11:21","ns1","ftpd","29890","FTP session closed","E32","FTP session closed"
"137","Oct","11","01:11:21","ns1","ftpd","29897","FTP session closed","E32","FTP session closed"
"138","Oct","11","01:11:21","ns1","ftpd","29908","FTP session closed","E32","FTP session closed"
"139","Oct","11","01:11:21","ns1","ftpd","29909","FTP session closed","E32","FTP session closed"
"140","Oct","11","01:11:21","ns1","ftpd","29896","FTP session closed","E32","FTP session closed"
"141","Oct","11","01:11:21","ns1","ftpd","29905","FTP session closed","E32","FTP session closed"
"142","Oct","11","01:11:22","ns1","ftpd","29903","FTP session closed","E32","FTP session closed"
"143","Oct","11","01:11:22","ns1","ftpd","29900","FTP session closed","E32","FTP session closed"
"144","Oct","11","01:11:22","ns1","ftpd","29907","FTP session closed","E32","FTP session closed"
"145","Oct","11","01:11:22","ns1","ftpd","29906","FTP session closed","E32","FTP session closed"
"146","Oct","11","01:11:22","ns1","ftpd","29902","FTP session closed","E32","FTP session closed"
